Date,MSCI Europe
04/2001,235509.96766009647
05/2001,234490.12826984806
06/2001,225625.72684784062
07/2001,219082.13259904878
08/2001,203988.40924503878
09/2001,184174.4247320423
10/2001,191900.15836867839
11/2001,202833.47907598133
12/2001,210035.52515990534
01/2002,203116.92700658806
02/2002,202754.0410826153
03/2002,211953.32215843798
04/2002,203704.22273600876
05/2002,194881.09482922315
06/2002,177026.6415817823
07/2002,160416.93206829342
08/2002,159572.01728441525
09/2002,138200.8219879626
10/2002,151497.13018190334
11/2002,157927.47018373635
12/2002,144073.35572828655
01/2003,133082.44590327473
02/2003,129145.24823554739
03/2003,125899.04866439411
04/2003,139850.0032707915
05/2003,140216.40397014038
06/2003,146461.98516080118
07/2003,150876.51572476747
08/2003,155980.1786897503
09/2003,149250.49209399635
10/2003,159645.8565224997
11/2003,161278.32642533147
12/2003,165734.94094806665
01/2004,171003.26808782088
02/2004,175529.92242556548
03/2004,172758.67205829703
04/2004,175298.09288843896
05/2004,174479.28753108945
06/2004,177438.57322985886
07/2004,174218.2059070439
08/2004,173286.97070284293
09/2004,175908.2862126207
10/2004,177564.35413955207
11/2004,182591.35308615837
12/2004,185768.5066372019
01/2005,190521.94542729724
02/2005,196702.74381137334
03/2005,196083.20324542865
04/2005,191216.4401584952
05/2005,201636.8726547127
06/2005,208454.44623343708
07/2005,216028.8585022998
08/2005,217362.51996959187
09/2005,225520.75428300133
10/2005,218764.35173678183
11/2005,227254.23156512034
12/2005,234691.5618262464
01/2006,243402.276822421
02/2006,248589.70337049317
03/2006,253360.51295001246
04/2006,257104.58317939425
05/2006,243573.86765906148
06/2006,247345.6188929764
07/2006,250054.35787614842
08/2006,256260.30083415972
09/2006,262353.5214584725
10/2006,272829.3999130241
11/2006,271741.8981364493
12/2006,281106.59702863434
01/2007,287482.29766154254
02/2007,280875.5050054996
03/2007,288716.4849505414
04/2007,300873.35147536633
05/2007,309632.4636795315
06/2007,308379.5909589077
07/2007,297365.0154906981
08/2007,294124.58141733834
